Failure Rate,Noise STD,Swarm Size,Resources Collected,Alive Robots,Simulation Time,Collection  Rate,Completion Percentage
0.0002,0,50,65,0,542.0,0.11992619926199262,65.0
0.0002,0,50,72,0,576.4333333333333,0.12490603134216158,72.0
0.0002,0,50,71,0,524.3666666666667,0.13540143665374102,71.0
0.0002,0,50,70,0,560.5666666666667,0.12487363976928108,70.0
0.0002,0,50,63,0,723.8666666666667,0.08703260268926137,63.0
0.0002,0,50,79,0,609.8666666666667,0.1295365107127241,79.0
0.0002,0,50,75,0,456.1666666666667,0.16441359152356594,75.0
0.0002,0,50,81,0,825.2,0.09815802229762481,81.0
0.0002,0,50,76,0,991.9666666666667,0.07661547767062064,76.0
0.0002,0,50,82,0,783.1333333333333,0.10470758491529752,82.0
0.0002,0,50,71,0,615.0666666666667,0.11543464123130283,71.0
0.0002,0,50,78,0,620.1666666666666,0.12577264176296696,78.0
0.0002,0,50,70,0,812.6666666666666,0.08613617719442167,70.0
0.0002,0,50,74,0,1509.3,0.04902935135493275,74.0
0.0002,0,50,79,0,438.23333333333335,0.18026926294972237,79.0
0.0002,0,50,65,0,598.5333333333333,0.10859879705947872,65.0
0.0002,0,50,77,0,411.1,0.18730235952323035,77.0
0.0002,0,50,59,0,727.0333333333333,0.08115171243867773,59.0
0.0002,0,50,72,0,1268.2333333333333,0.05677188740242332,72.0
0.0002,0,50,64,0,773.3666666666667,0.0827550536614801,64.0
